english_term,greek_term,category,subcategory,difficulty_level,clinical_relevance,related_terms,synonyms,definition,definition_gr
skull,κρανίο,anatomy,Skeletal system,basic,high,mandible; spine,cranium,"The skull is the bony structure that forms the head, protecting the brain:contentReference[oaicite:0]{index=0}.",Το κρανίο είναι ο οστέινος σχηματισμός που σχηματίζει το κεφάλι και προστατεύει τον εγκέφαλο.
mandible,κάτω γνάθος,anatomy,Skeletal system,basic,high,skull; maxilla,lower jaw,"The mandible, or lower jaw, is the largest bone of the human skull and forms the lower jawline.","Η κάτω γνάθος είναι το μεγαλύτερο οστό του ανθρώπινου κρανίου, αποτελώντας την κάτω σιαγόνα."
clavicle,κλείδα,anatomy,Skeletal system,basic,high,scapula; sternum,collar bone,The clavicle (collarbone) is a long bone that connects the shoulder blade to the sternum in the upper chest.,Η κλείδα είναι ένα μακρύ οστό που συνδέει την ωμοπλάτη με το στέρνο στο άνω μέρος του θώρακα.
scapula,ωμοπλάτη,anatomy,Skeletal system,basic,high,clavicle; humerus,shoulder blade,The scapula (shoulder blade) is a flat triangular bone located in the upper back that forms the back part of the shoulder girdle.,Η ωμοπλάτη είναι ένα επίπεδο τριγωνικό οστό στην άνω πλάτη που αποτελεί το οπίσθιο μέρος της ωμικής ζώνης.
sternum,στέρνο,anatomy,Skeletal system,basic,high,rib cage; clavicle,breastbone,"The sternum (breastbone) is a flat bone at the front center of the chest, connecting to the ribs and clavicles to form the rib cage:contentReference[oaicite:1]{index=1}.","Το στέρνο είναι ένα επίπεδο οστό στο πρόσθιο κέντρο του θώρακα, που συνδέεται με τις πλευρές και τις κλείδες σχηματίζοντας τον θωρακικό κλωβό."
rib cage,θωρακικός κλωβός,anatomy,Skeletal system,basic,high,sternum; spine; ribs,,"The rib cage is the bony structure in the chest formed by the ribs and sternum, which protects the heart and lungs:contentReference[oaicite:2]{index=2}.",Ο θωρακικός κλωβός είναι η οστέινη δομή στο στήθος που σχηματίζεται από τις πλευρές και το στέρνο και προστατεύει την καρδιά και τους πνεύμονες.
humerus,βραχιόνιο οστό,anatomy,Skeletal system,basic,medium,radius; ulna; scapula,,"The humerus is the long bone of the upper arm, extending from the shoulder to the elbow.",Το βραχιόνιο οστό είναι το μακρύ οστό του άνω άκρου που εκτείνεται από τον ώμο ως τον αγκώνα.
radius,κερκίδα,anatomy,Skeletal system,basic,medium,ulna; humerus,,"The radius is one of the two bones of the forearm, located on the lateral side (thumb side) of the forearm.","Η κερκίδα είναι ένα από τα δύο οστά του αντιβραχίου, που βρίσκεται στην έξω πλευρά του αντιβραχίου (πλευρά του αντίχειρα)."
ulna,ωλένη,anatomy,Skeletal system,basic,medium,radius; humerus,,"The ulna is the medial bone of the forearm, running from the elbow to the smallest finger side of the wrist.","Η ωλένη είναι το έσω οστό του αντιβραχίου, που εκτείνεται από τον αγκώνα μέχρι την πλευρά του καρπού προς το μικρό δάκτυλο."
spine,σπονδυλική στήλη,anatomy,Skeletal system,basic,high,vertebra; pelvis,vertebral column,"The spine (vertebral column) is the series of vertebrae extending from the skull to the pelvis, protecting the spinal cord.","Η σπονδυλική στήλη είναι η σειρά σπονδύλων που εκτείνεται από το κρανίο έως την πυέλο, προστατεύοντας τον νωτιαίο μυελό."
vertebra,σπόνδυλος,anatomy,Skeletal system,basic,medium,spine,,A vertebra is one of the individual bones that make up the vertebral column (spine).,Ο σπόνδυλος είναι ένα από τα επιμέρους οστά που συνθέτουν τη σπονδυλική στήλη.
pelvis,πυέλος,anatomy,Skeletal system,basic,high,spine; femur,bony pelvis,"The pelvis is the lower bony structure of the trunk, composed of the hip bones, sacrum, and coccyx, supporting the spinal column and legs.","Η πυέλος είναι η κάτω οστέινη δομή του κορμού, αποτελούμενη από τα οστά της λεκάνης, το ιερό οστό και τον κόκκυγα, υποστηρίζοντας τη σπονδυλική στήλη και τα πόδια."
sacrum,ιερό οστό,anatomy,Skeletal system,intermediate,medium,pelvis; spine,,"The sacrum is a triangular bone at the base of the spine, formed by fused vertebrae, and is part of the pelvic structure.","Το ιερό οστό είναι ένα τριγωνικό οστό στη βάση της σπονδυλικής στήλης, σχηματισμένο από συνοστεωμένους σπονδύλους, και αποτελεί μέρος της δομής της πυέλου."
